"","id","legisNames","party","year","icpsrst","district","incumb","numdvt","numrvt","numovt","statenm","stpost","fipsst","Office","CensusPop","Area","RedistrictedDate","RepCandidate","RepStatus","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RaceNotes","dpvote","winner","numdvt_js","numrvt_js","numovt_js","handcorrected","y","x"
"YOUNG (R AK-1)","AK-1","YOUNG (R AK-1)","R",2016,NA,1,-1,111019,155088,NA,NA,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6,"Don Young",NA,NA,NA,NA,0.360653285070493,58.4
"BYRNE (R AL-1)","AL-1","BYRNE (R AL-1)","R",2016,NA,1,-1,0,208083,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,"Bradley Byrne",NA,NA,NA,NA,1.16290808863537,65.1
"ROBY (R AL-2)","AL-2","ROBY (R AL-2)","R",2016,NA,2,-1,112089,134886,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,"Martha Roby",NA,NA,NA,NA,0.949538906115023,66.3
"ROGERS (R AL-3)","AL-3","ROGERS (R AL-3)","R",2016,NA,3,-1,94549,192164,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,"Mike Rogers",NA,NA,NA,NA,0.415508470417228,66.9
"ADERHOLT (R AL-4)","AL-4","ADERHOLT (R AL-4)","R",2016,NA,4,-1,0,235925,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,"Robert Aderholt",NA,NA,NA,NA,0.567588948515367,82.2
"BROOKS (R AL-5)","AL-5","BROOKS (R AL-5)","R",2016,NA,5,-1,102234,205647,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,"Mo Brooks",NA,NA,NA,NA,0.497777390443789,67.4
"PALMER (R AL-6)","AL-6","PALMER (R AL-6)","R",2016,NA,6,-1,83709,245313,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,"Gary Palmer",NA,NA,NA,NA,1.14816302303208,73.1
"SEWELL (D AL-7)","AL-7","SEWELL (D AL-7)","D",2016,NA,7,1,229330,0,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.9,"Terri Sewell",NA,NA,NA,NA,-1.13364029754116,29.1
"CRAWFORD (R AR-1)","AR-1","CRAWFORD (R AR-1)","R",2016,NA,1,-1,0,183866,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,"Rick Crawford",NA,NA,NA,NA,1.03426741752675,68.3
"HILL (R AR-2)","AR-2","HILL (R AR-2)","R",2016,NA,2,-1,111347,176472,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,"French Hill",NA,NA,NA,NA,0.652034213804653,55.7
"WOMACK (R AR-3)","AR-3","WOMACK (R AR-3)","R",2016,NA,3,-1,0,217192,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,"Steve Womack",NA,NA,NA,NA,0.947690926820842,67
"WESTERMAN (R AR-4)","AR-4","WESTERMAN (R AR-4)","R",2016,NA,4,-1,0,182885,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8,"Bruce Westerman",NA,NA,NA,NA,1.16991268454385,67.2
"O'HALLERAN (D AZ-1)","AZ-1","O'HALLERAN (D AZ-1)","D",2016,NA,1,NA,142219,121745,NA,NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4,"Tom O'Halleran",NA,NA,NA,NA,-0.447086622778698,50.6
"MCSALLY (R AZ-2)","AZ-2","MCSALLY (R AZ-2)","R",2016,NA,2,-1,135873,179806,NA,NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6,"Martha McSally",NA,NA,NA,NA,0.469028304447305,47.4
"GRIJALVA (D AZ-3)","AZ-3","GRIJALVA (D AZ-3)","D",2016,NA,3,1,148973,0,NA,NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.8,"Raul Grijalva",NA,NA,NA,NA,-1.69178582808113,34.2
"GOSAR (R AZ-4)","AZ-4","GOSAR (R AZ-4)","R",2016,NA,4,-1,81296,203487,NA,NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,"Paul Gosar",NA,NA,NA,NA,0.519090579310884,71.1
"BIGGS (R AZ-5)","AZ-5","BIGGS (R AZ-5)","R",2016,NA,5,-1,114940,205184,NA,NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8,"Andy Biggs",NA,NA,NA,NA,0.510640731535827,61.2
"SCHWEIKERT (R AZ-6)","AZ-6","SCHWEIKERT (R AZ-6)","R",2016,NA,6,-1,122866,201578,NA,NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7,"David Schweikert",NA,NA,NA,NA,0.963453107457998,55.3
"GALLEGO (D AZ-7)","AZ-7","GALLEGO (D AZ-7)","D",2016,NA,7,1,119465,39286,NA,NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.1,"Ruben Gallego",NA,NA,NA,NA,-0.988234064171953,23.9
"FRANKS (R AZ-8)","AZ-8","FRANKS (R AZ-8)","R",2016,NA,8,-1,0,204942,NA,NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,"Trent Franks",NA,NA,NA,NA,0.726749312335396,61.1
"SINEMA (D AZ-9)","AZ-9","SINEMA (D AZ-9)","D",2016,NA,9,1,169055,108350,NA,NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.8,"Kyrsten Sinema",NA,NA,NA,NA,-0.335290543238524,41.2
"LAMALFA (R CA-1)","CA-1","LAMALFA (R CA-1)","R",2016,NA,1,-1,128588,185448,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.4,"Doug La Malfa",NA,NA,NA,NA,0.915169065139138,60.6
"DENHAM (R CA-10)","CA-10","DENHAM (R CA-10)","R",2016,NA,10,-1,116470,124671,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.6,"Jeff Denham",NA,NA,NA,NA,0.498450361560582,48.4
"DESAULNIER (D CA-11)","CA-11","DESAULNIER (D CA-11)","D",2016,NA,11,1,214868,83341,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9,"Mark DeSaulnier",NA,NA,NA,NA,-2.23453476940562,24.1
"PELOSI (D CA-12)","CA-12","PELOSI (D CA-12)","D",2016,NA,12,1,274035,0,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.8,"Nancy Pelosi",NA,NA,NA,NA,-1.33299645952066,9.2
"LEE (D CA-13)","CA-13","LEE (D CA-13)","D",2016,NA,13,1,293117,29754,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.8,"Barbara Lee",NA,NA,NA,NA,-2.28482106303417,7.2
"SPEIER (D CA-14)","CA-14","SPEIER (D CA-14)","D",2016,NA,14,1,231630,54817,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.9,"Jackie Speier",NA,NA,NA,NA,-0.972681937602728,19.1
"SWALWELL (D CA-15)","CA-15","SWALWELL (D CA-15)","D",2016,NA,15,1,198578,70619,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3,"Eric Swalwell",NA,NA,NA,NA,-0.764196923674134,25.7
"COSTA (D CA-16)","CA-16","COSTA (D CA-16)","D",2016,NA,16,1,97473,70483,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.4,"Jim Costa",NA,NA,NA,NA,-0.346472582410755,38.6
"KHANNA (D CA-17)","CA-17","KHANNA (D CA-17)","D",2016,NA,17,NA,233192,0,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.3,"Ro Khanna",NA,NA,NA,NA,-1.61884323395176,21.7
"ESHOO (D CA-18)","CA-18","ESHOO (D CA-18)","D",2016,NA,18,1,230460,93470,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.4,"Anna Eshoo",NA,NA,NA,NA,-0.842940976607463,21.6
"LOFGREN (D CA-19)","CA-19","LOFGREN (D CA-19)","D",2016,NA,19,1,181802,64061,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.2,"Zoe Lofgren",NA,NA,NA,NA,-0.877364993185343,22.8
"HUFFMAN (D CA-2)","CA-2","HUFFMAN (D CA-2)","D",2016,NA,2,1,254194,76572,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.8,"Jared Huffman",NA,NA,NA,NA,-0.981056879716285,25.2
"PANETTA (D CA-20)","CA-20","PANETTA (D CA-20)","D",2016,NA,20,NA,180980,74811,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.2,"Jimmy Panetta",NA,NA,NA,NA,-0.733118454218472,24.8
"VALADAO (R CA-21)","CA-21","VALADAO (R CA-21)","R",2016,NA,21,-1,57282,75126,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.2,"David Valadao",NA,NA,NA,NA,0.665025400952211,41.8
"NUNES (R CA-22)","CA-22","NUNES (R CA-22)","R",2016,NA,22,-1,76211,158755,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"Devin Nunes",NA,NA,NA,NA,1.40519698571839,55
"MCCARTHY (R CA-23)","CA-23","MCCARTHY (R CA-23)","R",2016,NA,23,-1,74468,167116,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3,"Kevin McCarthy",NA,NA,NA,NA,1.14563608324434,61.7
"CARBAJAL (D CA-24)","CA-24","CARBAJAL (D CA-24)","D",2016,NA,24,NA,166034,144780,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8,"Salud Carbajal",NA,NA,NA,NA,-0.897842646475378,39.2
"KNIGHT (R CA-25)","CA-25","KNIGHT (R CA-25)","R",2016,NA,25,-1,122406,138755,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,"Steve Knight",NA,NA,NA,NA,0.680892190091482,46.4
"BROWNLEY (D CA-26)","CA-26","BROWNLEY (D CA-26)","D",2016,NA,26,1,169248,111059,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,"Julia Brownley",NA,NA,NA,NA,-0.737305658031355,38.3
"CHU (D CA-27)","CA-27","CHU (D CA-27)","D",2016,NA,27,1,168977,81655,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9,"Judy Chu",NA,NA,NA,NA,-1.31789724616648,30.1
"SCHIFF (D CA-28)","CA-28","SCHIFF (D CA-28)","D",2016,NA,28,1,210883,59526,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.4,"Adam Schiff",NA,NA,NA,NA,-1.11133748852482,23.6
"CARDENAS (D CA-29)","CA-29","CARDENAS (D CA-29)","D",2016,NA,29,1,171824,0,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.2,"Tony Cardenas",NA,NA,NA,NA,-0.837962417069511,17.8
"GARAMENDI (D CA-3)","CA-3","GARAMENDI (D CA-3)","D",2016,NA,3,1,152513,104453,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,"John Garamendi",NA,NA,NA,NA,-0.903139062526587,43.3
"SHERMAN (D CA-30)","CA-30","SHERMAN (D CA-30)","D",2016,NA,30,1,205279,77325,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9,"Brad Sherman",NA,NA,NA,NA,-0.925985263127003,27.1
"AGUILAR (D CA-31)","CA-31","AGUILAR (D CA-31)","D",2016,NA,31,1,121070,94866,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.2,"Pete Aguilar",NA,NA,NA,NA,-0.775150557818394,38.8
"NAPOLITANO (D CA-32)","CA-32","NAPOLITANO (D CA-32)","D",2016,NA,32,1,186646,0,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,"Grace Napolitano",NA,NA,NA,NA,-1.11914648953101,29.4
"LIEU (D CA-33)","CA-33","LIEU (D CA-33)","D",2016,NA,33,1,219397,110822,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.9,"Ted Lieu",NA,NA,NA,NA,-0.898302591990476,28.1
"BECERRA (D CA-34)","CA-34","BECERRA (D CA-34)","D",2016,NA,34,1,159156,0,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.7,"Xavier Becerra",NA,NA,NA,NA,-1.17041721780061,11.3
"TORRES (D CA-35)","CA-35","TORRES (D CA-35)","D",2016,NA,35,1,124044,47309,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.6,"Norma Torres",NA,NA,NA,NA,-0.910131619637835,28.4
"RUIZ (D CA-36)","CA-36","RUIZ (D CA-36)","D",2016,NA,36,1,144348,88269,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,"Raul Ruiz",NA,NA,NA,NA,-0.680593283252935,45.4
"BASS (D CA-37)","CA-37","BASS (D CA-37)","D",2016,NA,37,1,237272,0,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.9,"Karen Bass",NA,NA,NA,NA,-1.99816676722899,10.1
"SANCHEZ (D CA-38)","CA-38","SANCHEZ (D CA-38)","D",2016,NA,38,1,163590,68524,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,"Linda Sanchez",NA,NA,NA,NA,-1.47233114045873,29
"ROYCE (R CA-39)","CA-39","ROYCE (R CA-39)","R",2016,NA,39,-1,112679,150777,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,"Ed Royce",NA,NA,NA,NA,0.583959277707447,45.4
"MCCLINTOCK (R CA-4)","CA-4","MCCLINTOCK (R CA-4)","R",2016,NA,4,-1,130845,220133,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,"Tom McClintock",NA,NA,NA,NA,0.484223429466203,57.9
"ROYBAL-ALLA (D CA-40)","CA-40","ROYBAL-ALLA (D CA-40)","D",2016,NA,40,1,106554,0,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,"Lucille Roybal-Allard",NA,NA,NA,NA,-0.971723731984121,13.5
"TAKANO (D CA-41)","CA-41","TAKANO (D CA-41)","D",2016,NA,41,1,128164,69159,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.8,"Mark Takano",NA,NA,NA,NA,-1.38634416467869,35.2
"CALVERT (R CA-42)","CA-42","CALVERT (R CA-42)","R",2016,NA,42,-1,104689,149547,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7,"Ken Calvert",NA,NA,NA,NA,1.00377868144593,56.3
"WATERS (D CA-43)","CA-43","WATERS (D CA-43)","D",2016,NA,43,1,167017,52499,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.4,"Maxine Waters",NA,NA,NA,NA,-1.78195710390004,17.6
"BARRAGAN (D CA-44)","CA-44","BARRAGAN (D CA-44)","D",2016,NA,44,NA,178413,0,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.1,"Nanette Barragan",NA,NA,NA,NA,-1.38367916981158,12.9
"WALTERS (R CA-45)","CA-45","WALTERS (R CA-45)","R",2016,NA,45,-1,129231,182618,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9,"Mimi Walters",NA,NA,NA,NA,0.943149031593271,47.1
"CORREA (D CA-46)","CA-46","CORREA (D CA-46)","D",2016,NA,46,NA,164593,0,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.4,"Lou Correa",NA,NA,NA,NA,-0.575612264377371,29.6
"LOWENTHAL (D CA-47)","CA-47","LOWENTHAL (D CA-47)","D",2016,NA,47,1,154759,88109,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.9,"Alan Lowenthal",NA,NA,NA,NA,-1.30700304449196,33.1
"ROHRABACHER (R CA-48)","CA-48","ROHRABACHER (R CA-48)","R",2016,NA,48,-1,127715,178701,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9,"Dana Rohrabacher",NA,NA,NA,NA,0.358696957980024,49.1
"ISSA (R CA-49)","CA-49","ISSA (R CA-49)","R",2016,NA,49,-1,154267,155888,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,"Darrell Issa",NA,NA,NA,NA,0.809642911487716,46
"THOMPSON (D CA-5)","CA-5","THOMPSON (D CA-5)","D",2016,NA,5,1,224526,67565,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,"Mike Thompson",NA,NA,NA,NA,-0.819213275400015,26
"HUNTER (R CA-50)","CA-50","HUNTER (R CA-50)","R",2016,NA,50,-1,103646,179937,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,"Duncan D. Hunter",NA,NA,NA,NA,1.40223157056232,58
"VARGAS (D CA-51)","CA-51","VARGAS (D CA-51)","D",2016,NA,51,1,145162,54362,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9,"Juan Vargas",NA,NA,NA,NA,-1.03043215352539,24.1
"PETERS (D CA-52)","CA-52","PETERS (D CA-52)","D",2016,NA,52,1,181253,139403,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"Scott Peters",NA,NA,NA,NA,-0.477602211789477,38
"DAVIS (D CA-53)","CA-53","DAVIS (D CA-53)","D",2016,NA,53,1,198988,97968,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5,"Susan Davis",NA,NA,NA,NA,-0.919452193499537,31.5
"MATSUI (D CA-6)","CA-6","MATSUI (D CA-6)","D",2016,NA,6,1,177565,57848,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.9,"Doris Matsui",NA,NA,NA,NA,-0.869648641544313,26.1
"BERA (D CA-7)","CA-7","BERA (D CA-7)","D",2016,NA,7,1,152133,145168,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1,"Ami Bera",NA,NA,NA,NA,-0.613946848478101,43.9
"COOK (R CA-8)","CA-8","COOK (R CA-8)","R",2016,NA,8,-1,83035,136972,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,"Paul Cook",NA,NA,NA,NA,1.06355283205052,58
"MCNERNEY (D CA-9)","CA-9","MCNERNEY (D CA-9)","D",2016,NA,9,1,133163,98992,NA,NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8,"Jerry McNerney",NA,NA,NA,NA,-0.919693311756914,40.2
"DEGETTE (D CO-1)","CO-1","DEGETTE (D CO-1)","D",2016,NA,1,1,257254,105030,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.8,"Diana DeGette",NA,NA,NA,NA,-1.14879947824577,25.2
"POLIS (D CO-2)","CO-2","POLIS (D CO-2)","D",2016,NA,2,1,260175,170001,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,"Jared Polis",NA,NA,NA,NA,-0.775781071189382,38.3
"TIPTON (R CO-3)","CO-3","TIPTON (R CO-3)","R",2016,NA,3,-1,150914,204220,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,"Scott Tipton",NA,NA,NA,NA,0.417893073304336,56.5
"BUCK (R CO-4)","CO-4","BUCK (R CO-4)","R",2016,NA,4,-1,123642,248155,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,"Ken Buck",NA,NA,NA,NA,0.928588822975877,62.6
"LAMBORN (R CO-5)","CO-5","LAMBORN (R CO-5)","R",2016,NA,5,-1,111676,225445,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,"Doug Lamborn",NA,NA,NA,NA,1.05013965316609,63.3
"COFFMAN (R CO-6)","CO-6","COFFMAN (R CO-6)","R",2016,NA,6,-1,160372,191626,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,"Mike Coffman",NA,NA,NA,NA,0.436143711312484,45.1
"PERLMUTTER (D CO-7)","CO-7","PERLMUTTER (D CO-7)","D",2016,NA,7,1,199758,144066,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.6,"Ed Perlmutter",NA,NA,NA,NA,-0.674816103389215,43.4
"LARSON (D CT-1)","CT-1","LARSON (D CT-1)","D",2016,NA,1,1,200686,105674,NA,NA,"CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.1,"John Larson",NA,NA,NA,NA,-0.878734455622973,37.9
"COURTNEY (D CT-2)","CT-2","COURTNEY (D CT-2)","D",2016,NA,2,1,208818,111149,NA,NA,"CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,"Joe Courtney",NA,NA,NA,NA,-0.779387789999587,48.5
"DELAURO (D CT-3)","CT-3","DELAURO (D CT-3)","D",2016,NA,3,1,213572,95786,NA,NA,"CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,"Rosa DeLauro",NA,NA,NA,NA,-1.11093129149145,42
"HIMES (D CT-4)","CT-4","HIMES (D CT-4)","D",2016,NA,4,1,187811,125724,NA,NA,"CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"Jim Himes",NA,NA,NA,NA,-0.637591751653973,38
"ESTY (D CT-5)","CT-5","ESTY (D CT-5)","D",2016,NA,5,1,179252,129801,NA,NA,"CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,"Elizabeth Etsy",NA,NA,NA,NA,-0.768939083473951,47.9
"BLUNT (D DE-1)","DE-1","BLUNT (D DE-1)","D",2016,NA,1,NA,233554,172301,NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,"Lisa Blunt Rochester",NA,NA,NA,NA,-0.959468141955653,44
"GAETZ (R FL-1)","FL-1","GAETZ (R FL-1)","R",2016,NA,1,0,114079,255107,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,"Matt Gaetz",NA,NA,NA,NA,0.537866957712614,70.5
"DEMINGS (D FL-10)","FL-10","DEMINGS (D FL-10)","D",2016,NA,10,0,198491,107498,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9,"Val Demings",NA,NA,NA,NA,-0.895644385884668,36.1
"WEBSTER (R FL-11)","FL-11","WEBSTER (R FL-11)","R",2016,NA,11,-1,124713,258016,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,"Dan Webster",NA,NA,NA,NA,0.664025872967231,66.6
"BILIRAKIS (R FL-12)","FL-12","BILIRAKIS (R FL-12)","R",2016,NA,12,-1,116110,253559,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3,"Gus Bilirakis",NA,NA,NA,NA,1.28330413410256,59.7
